Status_group,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Kalambo,Milepa,"31.93412171,-8.07250753",river/lake,500,250,2008,enough,15023080211WP02_464,good,gravity,unknown,monthly,ADB,DWE,vwc,none
functional,Kalambo,Milepa,"31.9349786,-8.070415069",river/lake,500,400,2008,enough,15023080211WP09_471,good,gravity,unknown,monthly,Village Council,Villag,vwc,none
functional,Nkasi,Milanzi,"31.60071179,-8.013143503",spring,0,850,1984,enough,15042016111WP04,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Milanzi,"31.66096526,-8.038528887",borehole,500,1020,2009,seasonal,15042016111WP01,good,india mark ii,unknown,monthly,Sumbawanga Munici,Sumbaw,vwc,none
functional,Nkasi,Milanzi,"31.60522364,-8.016901804",spring,0,0,1984,enough,15042016111WP12,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Milanzi,"31.60253517,-8.025470304",spring,0,450,1984,insufficient,15042016111WP09,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Milanzi,"31.66549153,-8.042705838",borehole,500,850,2008,enough,15042016111WP02,good,india mark ii,unknown,monthly,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.14453281,-8.643218415",river/lake,0,150,2008,enough,15023080121WP19_233,good,gravity,unknown,never pay,ADB,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.06680634,-8.684331865",borehole,0,150,1986,enough,15023080121WP37_251,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.06433184,-8.692312793",borehole,0,270,1986,enough,15023080121WP41_255,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.06655496,-8.692551545",borehole,0,150,1986,enough,15023080121WP42_256,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.14393758,-8.640416538",borehole,0,150,2007,enough,15023080121WP16_230,good,india mark ii,unknown,never pay,District Council,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.12991047,-8.619429921",spring,0,400,2008,enough,15023080121WP49_263,good,other,unknown,never pay,ADB,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.14403061,-8.642516563",river/lake,0,150,2008,enough,15023080121WP15_229,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.14449783,-8.64182201",river/lake,0,150,2008,enough,15023080121WP17_231,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.16273117,-8.675314145",shallow well,0,4000,1972,enough,15023080121WP02_216,good,nira/tanira,unknown,never pay,DWE,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.07187213,-8.691086076",borehole,0,40,1986,insufficient,15023080121WP30_244,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.13287681,-8.627295875",river/lake,0,250,2008,enough,15023080121WP27_241,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.13412419,-8.626544619",river/lake,0,250,2008,enough,15023080121WP26_240,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.13465676,-8.626837788",river/lake,0,100,2008,insufficient,15023080121WP25_239,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.13524793,-8.627537353",river/lake,0,150,2008,enough,15023080121WP24_238,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.13635756,-8.626858197",river/lake,0,200,2008,enough,15023080121WP22_236,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.13778412,-8.629020592",river/lake,0,200,2008,enough,15023080121WP21_235,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.1374255,-8.630799949",river/lake,0,250,2008,enough,15023080121WP20_234,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Miangalua,"32.06814674,-8.685559543",borehole,0,250,1986,enough,15023080121WP36_250,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Miangalua,"32.14452366,-8.642663668",river/lake,0,150,2008,enough,15023080121WP18_232,good,gravity,unknown,never pay,ADB,DWE,vwc,tap broken
functional,Sumbawanga Rural,Mfinga,"31.44326634,-7.467826823",shallow well,0,450,1993,enough,15023080191WP08_396,salty,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Kalambo,Mfinga,"31.44030378,-7.4642894",shallow well,0,170,1993,enough,15023080191WP05_392,good,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Mfinga,"31.43854515,-7.464790939",shallow well,0,412,1993,enough,15023080191WP06_394,salty,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Urban,Mazwi,"31.61055969,-7.960228572",river/lake,0,750,2005,enough,15042016022WP01,good,gravity,unknown,other,SUWASA,SUWASA,other,none
functional,Sumbawanga Urban,Mazwi,"31.61300705,-7.963873547",borehole,100,3450,1984,enough,15042016022WP02,good,india mark ii,unknown,per bucket,Norad,Norad,other,none
functional,Sumbawanga Urban,Mazwi,"31.61094192,-7.965117066",borehole,100,2200,2008,enough,15042016022WP03,good,india mark ii,unknown,per bucket,TASAF,TASAF,other,none
functional,Sumbawanga Urban,Mazwi,"31.61408826,-7.966389009",borehole,0,1230,1983,enough,15042016022WP04,good,india mark ii,unknown,never pay,Norad,Norad,other,none
functional,Sumbawanga Urban,Mazwi,"31.61004049,-7.96297724",borehole,100,1,2007,enough,15042016022WP05,good,india mark ii,unknown,per bucket,TASAF,TASAF,other,none
functional,Sumbawanga Urban,Mazwi,"31.60599719,-7.957760687",river/lake,100,1450,2011,enough,15042016022WP06,good,gravity,unknown,per bucket,SUWASA,SUWASA,other,none
functional,Nkasi,Matanga,"31.5014017,-8.057672176",river/lake,0,0,1987,seasonal,15042016121WP06,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Sumbawanga Rural,Matai,"31.51254629,-8.304342917",river/lake,0,500,1967,insufficient,15023080043WP23_121,good,gravity,unknown,never pay,Romam Catholic,Romam,parastatal,none
functional,Sumbawanga Rural,Matai,"31.51965064,-8.3032453",river/lake,0,300,1972,insufficient,15023080043WP32_130,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Sumbawanga Rural,Matai,"31.5198515,-8.301454915",river/lake,0,300,1972,insufficient,15023080043WP33_131,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Sumbawanga Rural,Matai,"31.52063088,-8.300276549",river/lake,0,350,1972,insufficient,15023080043WP34_132,good,gravity,unknown,never pay,Private Individual,Mr Kas,private operator,none
functional,Sumbawanga Rural,Matai,"31.52094044,-8.298807567",river/lake,0,150,1972,insufficient,15023080043WP37_135,good,gravity,unknown,never pay,Private Individual,Mr Jul,private operator,none
functional,Sumbawanga Rural,Matai,"31.52980741,-8.308580894",borehole,0,300,2009,enough,15023080043WP39_137,good,india mark ii,unknown,never pay,District Council,DWE,vwc,none
functional,Sumbawanga Rural,Matai,"31.53094308,-8.309077001",shallow well,0,300,2009,enough,15023080043WP40_138,good,nira/tanira,unknown,never pay,District Council,DWE,private operator,none
functional,Sumbawanga Rural,Matai,"31.53060831,-8.304768807",borehole,0,500,2009,enough,15023080043WP42_140,good,india mark ii,unknown,never pay,District Council,DWE,vwc,none
functional,Sumbawanga Rural,Matai,"31.52700986,-8.294423083",spring,0,300,1991,enough,15023080043WP44_142,good,gravity,unknown,never pay,DWE,DWE,vwc,none
functional,Sumbawanga Rural,Matai,"31.52413727,-8.296427797",river/lake,100,200,1972,insufficient,15023080043WP45_143,good,gravity,unknown,per bucket,Private Individual,Mr Luo,private operator,tap broken
functional,Sumbawanga Rural,Matai,"31.52498887,-8.245598773",river/lake,200,120,2008,enough,15023080043WP11_106,good,gravity,unknown,on failure,Paffect Mwanaindi,Paffec,private operator,none
functional,Sumbawanga Rural,Matai,"31.52243681,-8.235327101",river/lake,200,250,1984,insufficient,15023080043WP12_108,good,gravity,unknown,on failure,DWE,DWE,vwc,none
functional,Sumbawanga Rural,Matai,"31.52686658,-8.240570367",river/lake,0,200,1984,insufficient,15023080043WP13_110,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Sumbawanga Rural,Matai,"31.52491628,-8.243873",river/lake,0,250,2009,enough,15023080043WP14_112,good,gravity,unknown,on failure,Water User Group,Water,wug,none
functional,Sumbawanga Rural,Matai,"31.52418998,-8.246303533",river/lake,200,450,1984,insufficient,15023080043WP15_113,good,gravity,unknown,on failure,DWE,DWE,vwc,tap broken
functional,Kalambo,Matai,"31.46050498,-8.323301504",borehole,0,200,1991,insufficient,15023080043WP01_86,good,swn 80,unknown,never pay,NORAD,NORAD/,vwc,none
functional,Sumbawanga Rural,Matai,"31.52655928,-8.289256849",spring,0,500,2004,enough,15023080043WP18_116,good,gravity,unknown,never pay,RUDEP,DWE,vwc,none
functional,Kalambo,Matai,"31.46383412,-8.328112021",borehole,0,120,1991,enough,15023080043WP05_94,good,swn 80,unknown,never pay,NORAD,NORAD/,vwc,none
functional,Sumbawanga Rural,Matai,"31.52905517,-8.243911455",river/lake,0,120,1984,insufficient,15023080043WP09_102,good,gravity,unknown,on failure,DWE,DWE,vwc,none
functional,Sumbawanga Rural,Matai,"31.52672075,-8.24487884",river/lake,0,300,1984,insufficient,15023080043WP10_104,good,gravity,unknown,on failure,DWE,DWE,vwc,tap broken
functional,Sumbawanga Urban,Mabwekenya,"31.74273101,-8.812532718",borehole,0,370,2009,enough,1502308091WP09_641,good,india mark ii,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Lusaka,"32.04080064,-8.462765766",river/lake,0,250,1976,enough,15023080141WP04_306,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Sumbawanga Rural,Lusaka,"32.03969868,-8.460112739",river/lake,0,250,1976,enough,15023080141WP03_305,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Sumbawanga Rural,Lusaka,"32.03832957,-8.452959969",river/lake,0,150,1976,enough,15023080141WP01_303,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Lusaka,"32.03821921,-8.456643423",river/lake,0,350,1976,enough,15023080141WP05_307,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Sumbawanga Rural,Lusaka,"32.02487126,-8.493522311",river/lake,0,300,1993,enough,15023080141WP13_315,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Lusaka,"32.08036498,-8.477654689",spring,0,1000,2002,enough,15023080141WP15_317,good,gravity,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Lusaka,"32.08692787,-8.487296855",spring,0,800,2002,enough,15023080141WP16_318,good,other,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Lusaka,"32.02343531,-8.480063397",spring,0,300,2003,enough,15023080141WP06_308,good,gravity,unknown,never pay,District Medical,DWE,vwc,none
functional,Sumbawanga Rural,Lusaka,"32.02115427,-8.480750284",river/lake,0,200,1993,enough,15023080141WP08_310,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Lusaka,"32.02267278,-8.483996426",river/lake,0,300,1993,enough,15023080141WP09_311,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Sumbawanga Rural,Lusaka,"32.0237688,-8.488763828",river/lake,0,2000,1993,enough,15023080141WP10_312,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Sumbawanga Rural,Lusaka,"32.02350018,-8.491289849",river/lake,0,50,1993,enough,15023080141WP11_313,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Lusaka,"32.01988482,-8.476931069",river/lake,0,250,1993,enough,15023080141WP07_309,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Legeza Mwendo,"32.10990498,-8.91548032",borehole,0,125,1984,enough,15023080111WP03_193,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Legeza Mwendo,"32.0551137,-8.865984854",borehole,0,100,1984,insufficient,15023080111WP06_196,salty,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Legeza Mwendo,"32.05238258,-8.864453896",borehole,0,50,1984,insufficient,15023080111WP07_197,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Legeza Mwendo,"32.04492887,-8.858898166",borehole,0,400,1984,enough,15023080111WP12_202,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Legeza Mwendo,"32.00167217,-8.812684979",borehole,0,400,1985,enough,15023080111WP20_209,salty,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Legeza Mwendo,"31.95290323,-8.764288352",borehole,0,270,2006,enough,15023080111WP25_214,salty,india mark ii,unknown,never pay,DED,DWE,parastatal,none
functional,Sumbawanga Rural,Legeza Mwendo,"32.10794852,-8.912063827",borehole,0,180,1984,enough,15023080111WP04_194,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.04032562,-8.566335401",river/lake,0,10,1973,insufficient,15023080133WP26_289,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.04839362,-8.569129366",borehole,0,500,2008,enough,15023080133WP33_296,good,india mark ii,unknown,never pay,DMO,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.04837352,-8.569659725",shallow well,0,350,1996,enough,15023080133WP32_295,good,nira/tanira,unknown,never pay,DMO,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.05971371,-8.564212989",borehole,0,400,1995,enough,15023080133WP31_294,good,submersible,unknown,never pay,Morovian,Morrov,vwc,none
functional,Sumbawanga Rural,Laela,"32.04778128,-8.56422004",borehole,0,450,2006,enough,15023080133WP30_293,good,india mark ii,unknown,never pay,RC,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.04792369,-8.564719022",river/lake,0,350,1973,insufficient,15023080133WP29_292,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.04586199,-8.565346983",river/lake,0,100,1972,enough,15023080133WP28_291,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.0442208,-8.566399478",river/lake,0,200,1972,enough,15023080133WP27_290,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.0355722,-8.524413215",river/lake,0,350,1972,enough,15023080133WP01_264,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.03404952,-8.520556389",river/lake,0,250,1972,enough,15023080133WP03_266,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Sumbawanga Rural,Laela,"32.03314564,-8.51732634",river/lake,0,300,1972,insufficient,15023080133WP04_267,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Sumbawanga Rural,Laela,"32.03479,-8.517856596",river/lake,0,350,1972,enough,15023080133WP05_268,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.03472683,-8.515635372",river/lake,0,350,1972,enough,15023080133WP06_269,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"31.94238635,-8.64116942",borehole,0,130,1985,enough,15023080133WP08_271,good,india mark ii,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"31.9449038,-8.637437183",borehole,0,230,1985,enough,15023080133WP10_273,salty,india mark ii,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.0414199,-8.565395184",river/lake,0,230,1972,insufficient,15023080133WP25_288,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.0415306,-8.561886152",river/lake,0,120,1973,enough,15023080133WP21_284,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Sumbawanga Rural,Laela,"32.04448517,-8.561570806",river/lake,0,150,1972,insufficient,15023080133WP22_285,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Sumbawanga Rural,Laela,"32.03988413,-8.562311408",river/lake,0,50,1973,insufficient,15023080133WP24_287,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Mbinga,Korongwe,"30.52338327,-7.127068565",shallow well,200,300,2007,enough,15033081134WP08_528,good,swn 80,unknown,on failure,Co,DWE,vwc,none
functional,Mbinga,Korongwe,"30.50597163,-7.109858884",shallow well,0,300,1995,insufficient,15033081134WP05_525,good,nira/tanira,unknown,never pay,RU,DWE,vwc,none
functional,Nkasi,Kizwite,"31.63112104,-7.981418892",river/lake,1000,3850,1982,enough,15042016153WP06,good,gravity,unknown,monthly,Norad,Norad,other,none
functional,Nkasi,Kizwite,"31.63194672,-7.983082273",river/lake,1000,0,1982,enough,15042016153WP05,good,gravity,unknown,monthly,Norad,Norad,other,none
functional,Kalambo,Kisumba,"31.2098499,-8.376398824",spring,0,2000,2003,enough,15023080014WP02_26,good,gravity,unknown,never pay,TASAF,DWE,vwc,none
functional,Kalambo,Kisumba,"31.21669566,-8.424375684",river/lake,0,230,1986,insufficient,15023080011WP27_24,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Kalambo,Kisumba,"31.21498633,-8.429011333",river/lake,0,70,1986,insufficient,15023080011WP24_21,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Kalambo,Kisumba,"31.21577706,-8.430131434",river/lake,0,230,1986,insufficient,15023080011WP23_20,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Kalambo,Kisumba,"31.21458328,-8.431427788",river/lake,0,200,1986,insufficient,15023080011WP22_19,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Kalambo,Kisumba,"31.21231465,-8.43149966",river/lake,0,450,1986,insufficient,15023080011WP19_16,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Kalambo,Kisumba,"31.21368029,-8.42759027",river/lake,0,400,1986,insufficient,15023080011WP18_15,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Kalambo,Kisumba,"31.21487745,-8.425829331",river/lake,0,400,1986,insufficient,15023080011WP17_14,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Kalambo,Kisumba,"31.2145383,-8.424323511",river/lake,0,230,1986,enough,15023080011WP14_11,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Kalambo,Kisumba,"31.21336353,-8.424245177",river/lake,0,200,1986,insufficient,15023080011WP13_10,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Kalambo,Kisumba,"31.21437234,-8.422677179",river/lake,0,350,1986,insufficient,15023080011WP12_9,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Kalambo,Kisumba,"31.21568027,-8.422839896",river/lake,0,230,1986,insufficient,15023080011WP11_8,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,none
functional,Kalambo,Kisumba,"31.21185462,-8.483205575",river/lake,0,300,1972,enough,15023080011WP08_5,good,gravity,unknown,never pay,DWE,DWE,vwc,none
functional,Kalambo,Kisumba,"31.21548168,-8.425631428",river/lake,0,400,1986,insufficient,15023080011WP16_13,good,gravity,unknown,never pay,DWE/NORAD,DWE,vwc,tap broken
functional,Songea Urban,Kirando,"30.62543075,-7.36864448",shallow well,0,750,1977,enough,15033081123WP14_462,good,nira/tanira,unknown,never pay,Go,DWE,vwc,none
functional,Songea Urban,Kirando,"30.62582148,-7.366961737",shallow well,0,800,1988,enough,15033081123WP11_459,good,nira/tanira,unknown,never pay,NO,DWE,vwc,none
functional,Songea Urban,Kirando,"30.64648592,-7.365417895",borehole,0,1500,2009,enough,15033081123WP09_457,good,india mark ii,unknown,never pay,Co,DWE,vwc,none
functional,Songea Urban,Kirando,"30.6014466,-7.324461695",shallow well,0,300,1994,enough,15033081123WP01_437,milky,nira/tanira,unknown,never pay,RU,DWE,vwc,none
functional,Songea Urban,Kirando,"30.62000166,-7.367826007",shallow well,0,1,1988,enough,15033081123WP020_441,good,nira/tanira,2001,never pay,NO,DWE,vwc,pump broken
functional,Songea Urban,Kipili,"30.59825369,-7.487694031",shallow well,0,800,2010,enough,15033081124WP04_471,milky,nira/tanira,unknown,never pay,Vi,Vill,vwc,none
functional,Songea Urban,Kipili,"30.59937415,-7.48796844",shallow well,0,500,1995,enough,15033081124WP05_472,milky,nira/tanira,unknown,never pay,RU,DWE,vwc,none
functional,Songea Urban,Kipili,"30.58764408,-7.484367871",shallow well,0,850,1995,enough,15033081124WP06_473,good,nira/tanira,unknown,never pay,RU,DWE,vwc,none
functional,Songea Urban,Kipili,"30.71750549,-7.461134644",shallow well,0,1,1997,insufficient,15033081124WP02_469,good,other,2007,never pay,Gt,Cons,vwc,pump broken
functional,Songea Urban,Kipili,"30.71737626,-7.461494103",shallow well,0,450,1997,enough,15033081124WP01_466,good,nira/tanira,unknown,never pay,Gt,Cons,vwc,none
functional,Songea Urban,Kipili,"30.58761962,-7.476175688",shallow well,0,300,1995,enough,15033081124WP08_475,good,nira/tanira,unknown,never pay,RU,DWE,vwc,none
functional,Songea Urban,Kipili,"30.59724346,-7.442058719",borehole,0,800,1995,enough,15033081124WP13_480,good,india mark ii,unknown,never pay,RU,DWEB,vwc,none
functional,Kalambo,Kipeta,"32.27511238,-8.360692665",borehole,0,500,2008,insufficient,15023080231WP09_517,good,afridev,unknown,never pay,TASAF,DWE,vwc,none
functional,Nkasi,Kipande,"31.4200155,-7.772487372",borehole,2000,500,2003,enough,15033081051WP32_269,salty,swn 80,unknown,annually,TA,Tanz,vwc,none
functional,Nkasi,Kipande,"31.37027033,-7.789093325",river/lake,0,150,1984,enough,15033081051WP16_257,good,gravity,unknown,never pay,Vi,Vill,vwc,none
functional,Nkasi,Kipande,"31.365116,-7.786397357",river/lake,0,120,1984,enough,15033081051WP14_255,good,gravity,unknown,never pay,In,Vill,vwc,none
functional,Nkasi,Kipande,"31.3676122,-7.788828854",river/lake,0,100,1984,enough,15033081051WP13_254,good,gravity,unknown,never pay,In,Vill,vwc,none
functional,Nkasi,Kipande,"31.41649109,-7.781464782",shallow well,2000,150,1995,insufficient,15033081051WP035_241,good,nira/tanira,unknown,annually,CO,DWE,vwc,none
functional,Nkasi,Kipande,"31.41921148,-7.778369788",borehole,2000,350,2003,enough,15033081051WP034_240,salty,swn 80,unknown,annually,TA,Tanz,vwc,none
functional,Nkasi,Kipande,"31.35194528,-7.742222756",river/lake,1000,300,2006,insufficient,15033081051WP01_233,good,gravity,unknown,on failure,CO,DWE,vwc,tap broken
functional,Sumbawanga Urban,Kilesha,"31.66123026,-8.432644161",river/lake,0,470,1990,enough,1502308064WP24_576,good,gravity,unknown,never pay,UNDP/ILO,DWE,vwc,tap broken
functional,Sumbawanga Urban,Kilesha,"31.67701864,-8.471769856",river/lake,0,400,1989,insufficient,1502308064WP33_585,good,gravity,unknown,never pay,UNDP/ILO,DWE,vwc,tap broken
functional,Sumbawanga Urban,Kilesha,"31.67158847,-8.464313134",river/lake,0,200,1990,enough,1502308064WP28_580,good,gravity,unknown,never pay,UNDP/ILO,DWE,vwc,none
functional,Sumbawanga Urban,Kilesha,"31.66548621,-8.433032056",river/lake,0,170,1990,enough,1502308064WP25_577,colored,gravity,unknown,never pay,UNDP/ILO,DWE,vwc,none
functional,Sumbawanga Urban,Kilesha,"31.65794443,-8.43007647",river/lake,0,300,1990,enough,1502308064WP23_575,good,gravity,unknown,never pay,UNDP/ILO,DWE,vwc,none
functional,Sumbawanga Urban,Kilesha,"31.72230074,-8.479394203",river/lake,0,350,1990,enough,1502308064WP12_564,good,gravity,unknown,never pay,UNDP/ILO,DWE,vwc,tap broken
functional,Kalambo,Katete,"31.49418772,-8.673402905",borehole,50,250,2005,insufficient,1502308054WP01_520,good,india mark ii,unknown,per bucket,RAS,DWE,vwc,none
functional,Nkasi,Kate,"31.23958215,-7.852263299",river/lake,1000,450,1983,insufficient,15033081071WP031_331,good,gravity,unknown,annually,IL,CONS,vwc,tap broken
functional,Nkasi,Kate,"31.24706744,-7.854885621",river/lake,1000,350,1983,insufficient,15033081071WP028_328,good,gravity,unknown,annually,IL,CONS,vwc,tap broken
functional,Nkasi,Kate,"31.24354721,-7.858652836",river/lake,1000,400,1983,insufficient,15033081071WP029_329,good,gravity,unknown,annually,IL,CONS,vwc,tap broken
functional,Nkasi,Kate,"31.23973952,-7.854690549",river/lake,1000,600,1983,insufficient,15033081071WP030_330,good,gravity,unknown,annually,IL,CONS,vwc,tap broken
functional,Nkasi,Kate,"31.22215354,-7.783217757",river/lake,1000,300,1983,enough,15033081071WP37_366,good,gravity,unknown,annually,IL,CONS,vwc,none
functional,Nkasi,Kate,"31.2227204,-7.788184276",river/lake,1000,550,1983,enough,15033081071WP38_367,good,gravity,unknown,annually,IL,CONS,vwc,none
functional,Nkasi,Kate,"31.29196884,-7.817599591",borehole,2000,600,1983,enough,15033081071WP014_314,salty,india mark ii,unknown,annually,NO,NORA,vwc,none
functional,Nkasi,Kate,"31.24240358,-7.85431544",river/lake,1000,300,1983,insufficient,15033081071WP027_327,good,gravity,unknown,annually,IL,CONS,vwc,none
functional,Nkasi,Kate,"31.17388554,-7.858200734",river/lake,1000,500,1982,enough,15033081071WP056_351,good,gravity,unknown,annually,IL,CONS,vwc,none
functional,Nkasi,Kate,"31.1747866,-7.855543557",river/lake,1000,200,1982,enough,15033081071WP055_350,good,gravity,unknown,annually,IL,CONS,vwc,none
functional,Nkasi,Kate,"31.17466088,-7.851653357",river/lake,1000,150,1982,enough,15033081071WP053_348,good,gravity,unknown,annually,IL,CONS,vwc,none
functional,Nkasi,Kate,"31.17860665,-7.8494288",river/lake,1000,200,2009,enough,15033081071WP052_347,good,gravity,unknown,annually,IL,Indi,private operator,tap broken
functional,Nkasi,Kate,"31.17834591,-7.848916136",river/lake,1000,200,2010,enough,15033081071WP051_346,milky,gravity,unknown,annually,IL,Indi,private operator,none
functional,Nkasi,Kate,"31.17657926,-7.848472439",river/lake,1000,300,1983,enough,15033081071WP050_345,good,gravity,unknown,annually,IL,CONS,vwc,tap broken
functional,Nkasi,Kate,"31.17860503,-7.845088904",river/lake,0,300,2009,insufficient,15033081071WP049_344,good,gravity,unknown,never pay,IL,Vill,vwc,none
functional,Nkasi,Kate,"31.18197424,-7.846861791",river/lake,0,200,2010,enough,15033081071WP047_342,good,gravity,unknown,never pay,IL,Indi,vwc,tap broken
functional,Nkasi,Kate,"31.30690458,-7.84083184",borehole,2000,500,1983,enough,15033081071WP025_325,good,india mark ii,unknown,annually,NO,NORA,vwc,none
